"Organization","Project","Year_start","Total_ammount","Year_end","Paid_ammount","Project_postcode","Priority","Total_cost","Description"
"Caledon Estate Company","Caledon Estate AD Plant","2013","240,943.00","","240,943.00","","P3","£ 1,692,400.00","Installation of a 250kw anaerobic digester woodchip biogas from farm waste and energy crops to produce electricity and heat for use on the estate and for sale to third parties."
"Mr Norman Thomas Wylie","Springwell Renewables Anaerobic Digester Plant","2013","167,939.00","2015","167,939.00","BT71 7QF","P3","£ 1,821,150.00","Proposed anaerobic digestion plant to receive animal slurry, poultry litter and energy crops to generate electricity and heat with biogas fuelled combined heat and power generator (CHP unit)  Heat provided approx 600kw.  Electricity provided approx 500kw.  Grant being sought to construct AD Plant."
"Desmond and Alastair Taylor","Taylor Anaerobic Digestion Plant","2013","255,325.00","2015","255,325.00","BT53 7LE","P3","£ 764,000.00","Grant is sought for the construction of a small scale 100kWh anaerobic digester to process manures (cattle slurry and poultry litter) and grass silage produced on the farm.  A unique small A D plant design will be put in place that will demonstrate the viability of smaller AD plants and hopefully will encourage other small to medium sized farms to adopt this type of technology in future."
"Newtownabbey Borough Council","Business Advancement Programme","2013","83,213.25","2016","82,956.27","BT36 5QA","P2","£ 110,951.00","The Business Advancement Programme aims to increase competitiveness, raise customers satisfaction, drive growth, increase sales and new customers by providing innovative approaches to products, processes and services."
"Newtownabbey Borough Council","FIT programme","2013","41,436.00","2016","41,271.30","BT36 5QA","P2","£ 55,248.00","FIT is a mentoring programme for SMEs providing comprehensive support around business need through the delivery of a business audit and implementation of a business improvement plan."
"Randox Laboratories  Ltd","RD0811797  Industrial Scale Modulation of Plasma Components","2012","389,155.00","2016","383,170.47","BT29 4QY","P1","£ 1,197,401.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals"
"Sustainable Energy Branch, DETI","Envisioning the Future - Considering Energy in Northern Ireland to 2050","2013","65,000.00","2015","59,832.50","BT4 2JP","P3","£ 65,000.00","The purpose of this assignment is to appoint external consultants to carry out a study to establish a long term vision, to 2050, for energy in Northern Ireland covering electricity, heat and transport"
"F M Environmental Ltd","LoO 11/0915 MIS","2012","20,000.00","2015","8,250.00","","P1","£ 40,000.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Softedge Systems (NI) Ltd","LoO 11/1214 MIS","2012","5,253.00","2015","4,059.00","","P1","£ 7,640.70","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Karen McAvoy Publishing Ltd","LoO 1206/101159031 MIS","2012","9,093.00","2015","6,399.32","BT67 0JR","P1","£ 21,576.67","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Dungannon & South Tyrone Brough Council","E Marketing for Small Businesses","2013","36,375.00","2016","33,768.73","","P2","£ 48,500.00","The aim of the E Marketing for Small Business programme is to support local business to develop their competitiveness by enhancing their effectiveness at securing public and private sector contracts.     Businesses will be assisted through workshops and one to one support to identify and take advantage of sales opportunities in the public and private sectors by developing their skills and knowledge and constructing bids and tenders more effectively.  	A delivery agent will be appointed through a procurement process, it will be essential that this delivery agent delivers the programme in close consultation with the Council and Invest NI."
"Teague & Sally Ltd","LoO 10/0560 MIS","2010","5,625.00","2015","1,307.80","BT80 8PE","P1","£ 17,616.00","To increase the capability, improve productivity and increase competitiveness of out clients through increased usage of appropriate ICT within client businesses."
"Bruce Engineering Services (NI) Ltd","RD0711778 - Mini Screening Range: Mobile Mini Screener & Mobile Grizzly Feeder","2011","53,264.00","2016","48,784.66","BT80 8UH","P1","£ 133,159.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Anaconda Equipment International Ltd","RD0312007 - DF 512 Scalping Screen","2012","38,690.00","2015","35,240.80","BT71 5BJ","P1","£ 128,966.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Larne Borough Council","North East Sustainable Energy Supply Chain Programme","2013","118,425.00","2016","91,330.98","","P2","£ 157,900.00","NERESC will engage with businesses from across the six participating council areas in the NE region and assist them in identifying and implementing actions that can secure new business opportunities and new business solutions from the emerging renewable energy sector. The project has been developed in consultation with Invest NI’s Sustainable Development Team and complements existing interventions by enabling a wide range of businesses from across the region to successfully harness the business potential from the renewable energy sector. The project will support 40 businesses"
"InfoSoft NI Ltd","RD0512524 - IS M2M Platform","2012","29,269.00","2015","21,577.88","BT27 4YL","P1","£ 65,042.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals."
"Keystone Lintels Ltd","RD0312013 - New Hybrid Lintel Design","2012","58,945.00","2016","55,095.17","BT80 9DG","P1","£ 235,780.00","The Grant for R&D; supports company innovation in services, products and processes.  It is open to existing and potential Invest NI clients that are manufacturing and/or internationally traded service companies and individuals"
"Larne Borough Council","North East Resource Efficiency PRogramme (NEREP)","2013","81,113.25","2016","77,237.18","","P2","£ 108,151.00","NEREP  will assist the development of businesses in the NE region through implementation of a programme of advice, information and signposting to encourage resource efficiencies and promote sustainability.    NEREP will engage businesses from across the five participating council areas in the NE region and assist them to identify and implement resource efficiencies that will improve competitiveness. The project has been developed in consultation with Invest NI’s Sustainable Development Team and complements existing provision by Invest NI as it aims to reduce waste and operating costs across business sectors. NEREP will support 40 businesses to develop and build their capacity through 1) Awareness Raising Events 2) Resource Efficiency Audits 3) Resource Efficiency Action Plans 4) 1-1 mentoring to implement the Resource Efficiency Action Plans 5) Signposting 6) Programme Monitoring and 7) Programme Evaluation."
